"F_得意先番号","F_得意先名称","F_得意先略称","F_敬称","F_英語名称","F_先担当部課","F_先担当","F_先担当敬称","F_経理担当部課","F_経理担当","F_経理担当敬称","F_郵便番号","F_住所１","F_住所２","F_住所３","F_英語住所１","F_英語住所２","F_電話番号","F_ＦＡＸ番号１","F_ＦＡＸ番号２","F_輸送ＬＴ","F_請求先番号","F_納品書発行","F_在庫引当区分","F_個別登録","F_検収区分","F_担当者","F_更新日付","F_更新時刻","F_照会項目","F_登録日","F_更新日","F_検査ＬＴ","F_予備ＬＴ","F_印刷Ｂ","F_切断余長区分","F_生産担当"
"1251365J","神鋼コベルコ建機株式会社東北支店","神鋼コベルコ建機㈱東北支店","様","","","","","","","","989-2421","宮城県岩沼市下野郷字田２１","（矢の目工業団地内）","","","","0223-24-1141","0223-","","2","1251365J","0","2","2","1","100009","ｼﾝｺｳｺﾍﾞﾙｺｹ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1251370","神戸いすゞ自動車株式会社","神戸いすゞ自動車㈱","様","","","","","","","","673-0029","明石市大道町２－５－９","","","","","087-927-4000","078-927-4056","","1","1251370","0","2","2","1","100009","ｺｳﾍﾞｲｽｽﾞｼﾞ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1251374","神戸鈑金工業株式会社","神戸鈑金工業㈱","御中","","総務経理室","","","","気付　岩瀬","様","731-5161","広島県広島市佐伯区五日市港2丁目1番4-3号","〒676-0008 　高砂市荒井町新浜2-11-25","","","","079-443-8881","079-443-8886","","1","1251374","1","2","2","2","100106","ｺｳﾍﾞﾊﾞﾝｷﾝｺ","10:55:27","","2002/07/24 00:00:00","2024/10/17 00:00:00","1","0","","N","100110"
"1257141","コマツ　ブルドーザ開発部","コマツ　ブルドーザ開発部","様","Komatsu Bull ENG","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","Komatsu","072-840-6301","072-848-5605","","2","1257141","3","2","2","1","190047","ｺﾏﾂ ﾌﾞﾙ","10:27:25","","2002/07/24 00:00:00","2005/09/30 00:00:00","1","0","1","N",""
"1257143","コマツ大阪工場","コマツ大阪工場","様","Komatsu Ltd Osaka Plant","","","様","","","","573-1011","大阪府枚方市上野３－１－１","","経理課　　　　　　　　　　　　　　　御中","","Komatsu","0720-40-6066","0720-40-5328","","1","1257143","2","1","2","1","100046","ｺﾏﾂｵｵｻｶｺｳｼ","10:35:34","","2002/07/24 00:00:00","2015/11/26 00:00:00","4","0","1","N","100149"
"12571431","コマツ大阪工場（内示）","コマツ大阪(内示)","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","谷口センター長様御中","","Komatsu","0720-40-6066","0720-40-5328","","4","12571431","3","1","2","1","300137","ｺﾏﾂｵｵｻｶｺｳｼ","14:15:15","","2002/07/24 00:00:00","2016/09/15 00:00:00","1","0","1","N","100149"
"1257143A","甲斐田倉庫","甲斐田倉庫","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720","","2","1257143","","1","2","1","100009","ｶｲﾀﾞｿｳｺ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","1","N",""
"1257143B","バルクセンター","バルクセンター","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","3","1257143","2","1","2","1","100046","ﾊﾞﾙｸS","11:30:09","","2002/07/24 00:00:00","2019/07/08 00:00:00","5","0","1","N",""
"12513653","コベルコ建機西日本株式会社関西支社明石","コベルコ建機西日本㈱関西支社","様","","","","","","","","651-2404","神戸市西区岩岡町古郷１５０６－１０","","","","","078-967-6238","078-967-6235","","2","12513653","0","2","2","1","100009","ｺﾍﾞﾙｺｹﾝｷﾆｼ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","1","N",""
"12513654","コベルコ建機㈱明石教習センタ－","コベルコ建機㈱明石教習センタ－","様","","","","","","","","674-0063","明石市大久保町八木７４０","","","","","078-935-3831","078-","","1","12513654","0","2","2","1","100009","ｺﾍﾞﾙｺｹﾝｷｷｮ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1251365A","神鋼コベルコ建機株式会社　サービス部","神鋼コベルコ建機㈱　サービス部","様","","","","","","","","135-0016","東京都江東区東陽２－３－２コベルコビル","","","","","03-5634-4119","03-5634-4129","","2","1251365A","0","2","2","1","100009","ｼﾝｺｳｺﾍﾞﾙｺｹ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1251365B","株式会社神戸製鋼所　建機・汎用海外部","㈱神戸製鋼所　建機・汎用海外部","様","","","","","","","","150-0001","東京都渋谷区神宮前６－２７－８","京セラ原宿ビル４Ｆ","","","","03-3797-7032","03-","","2","1251365B","0","2","2","1","100009","ｺｳﾍﾞｾｲｺｳｹﾝ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","1","N",""
"1251365D","神鋼コベルコ建機株式会社北関東支店","神鋼コベルコ建機㈱北関東支店","様","","","","","","","","370-0031","群馬県高崎市上大類町１０１０－１","","","","","0273-52-1170","0278-52-4667","","3","1251365D","0","2","2","1","100009","ｼﾝｺｳｺﾍﾞﾙﾄｹ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1251365E","神鋼コベルコ建機株式会社近畿支店","神鋼コベルコ建機㈱近畿支店","様","","","","","","","","660-0086","尼崎市丸島町４６番地－１","","","","","06-6414-2100","06-","","2","1251365E","0","2","2","1","100009","ｼﾝｺｳｺﾍﾞﾙﾄｹ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1251365F","神鋼コベルコ建機株式会社北陸支店","神鋼コベルコ建機㈱北陸支店","様","","","","","","","","924-0004","石川県松任市旭丘２丁目２１番","","","","","0762-76-2331","0762-76-1893","","3","1251365F","0","2","2","1","100009","ｼﾝｺｳｺﾍﾞﾙｺｹ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1251365G","神鋼コベルコ建機株式会社中国支店","神鋼コベルコ建機㈱中国支店","様","","","","","","","","739-0024","広島県東広島市西条町大字","御薗字字湯之元６４００－１","","","","0824-23-2711","0824-22-7683","","3","1251365G","0","2","2","1","100009","ｼﾝｺｳｺﾍﾞﾙｺｹ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1251365H","神鋼コベルコ建機株式会社北海道支店","神鋼コベルコ建機㈱北海道支店","様","","","","","","","","003-0026","北海道札幌市白石区本通り２１丁目南","１番６７号","","","","011-864-2121","011-964-2124","","3","1251365H","0","2","2","1","100009","ｼﾝｺｳｺﾍﾞﾙｺｹ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1110131","株式会社　岩崎商店","㈱岩崎商店","様","","","","","","","","557-0031","大阪市西成区鶴見橋1-8-16","岩崎様携帯　090-2044-6430","","","Iwasaki","06-6632-2743","06-6632-2746","","1","1110131","1","2","2","1","100071","ｲﾜｻｷｼｮｳﾃﾝ","11:52:20","","2002/07/24 00:00:00","2018/01/30 00:00:00","1","0","1","N","100023"
"1113325","AZ CORPORATION","アズ　コ－ポレ－ション","様","","","","","","","","999-9999","1-202 Munchon Dongbu-Sun Plaza,","17 Juyob-Dong ILsan-Ku Koyang-Shi","Kyonggi-Do,411-372 Korea","","","82-30-921-0740","82-31-921-0743","","1","1113325","1","2","2","1","100009","ｱｽﾞ ｺ-ﾎﾟﾚ-","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1115131","株式会社稲坂歯車製作所","㈱稲坂歯車製作所","御中","Inasaka Gia","","加藤さん","","","","","679-0222","兵庫県加東市高岡681番地","","","","","0790-49-1898","0795-48-4390","","1","1115131","0","2","2","1","100025","ｲﾅｻｶﾊｸﾞﾙﾏｾ","16:13:41","","2002/07/24 00:00:00","2013/01/24 00:00:00","1","0","1","N",""
"11151311","","ヤシマ産業","様","","","すがた","","","","","675-2101","兵庫県加西市繁昌町乙３３１","","御中","","","0790-49-1898","0790-49-1089","","2","11151311","3","2","2","1","100028","ﾔｼﾏｻﾝｷﾞｮｳ","16:12:39","","2002/07/24 00:00:00","2006/10/17 00:00:00","1","0","","N",""
"11151312","ヤシマ産業　袋井工場","ヤシマ産業　袋井工場","様","","","荻野","","","","","675-2101","静岡県袋井市山科2950番地","","御中","","","0538-43-8777","0568-43-8833","","2","11151312","3","2","2","1","100025","ﾔｼﾏｻﾝｷﾞｮｳ","14:53:02","","2002/07/24 00:00:00","2006/03/27 00:00:00","1","0","","N",""
"1131493","株式会社　ウェルテクノ","㈱ウェルテクノ","様","","","","","","","","930-0809","富山県富山市興人町２－６２","","御中","","","076-441-1419","076-441-1447","","2","1131493","2","2","2","1","100046","ｳｴﾙﾃｸﾉ","11:02:26","","2002/07/24 00:00:00","2007/06/20 00:00:00","1","0","1","N",""
"1134373","株式会社内村","㈱内村","御中","Uchimura","","","","","","","550-0012","大阪市西区立売堀3丁目6-10","","","","Uchimura","06-6532-4126","06-6532-4120","","2","1134373","2","2","2","1","100126","ｳﾁﾑﾗ","14:32:12","","2002/07/24 00:00:00","2020/03/26 00:00:00","3","0","1","N","100149"
"1141201","英和株式会社","英和㈱","様","","","","","","","","550-0014","大阪市西区北堀江４丁目１番７号","","","","","06-6539-4804","06-6539-4835","","1","1141201","1","2","2","1","100009","ｴｲﾜ(ｶﾌﾞ)","09:13:56","","2002/07/24 00:00:00","2006/02/28 00:00:00","1","0","","N",""
"1151551","エレマテック株式会社　大阪支店","エレマテック㈱","様","","大阪支店　営業部","森","様","","","","564-0062","大阪府吹田市垂水町3-22-28","東京都港区三田三丁目5番27号住友不動産三田ツインビル西館19","経理部　　　　　　　　　　　　　　御中","","","06-6385-4581","06-6386-7699","","2","1151551","0","2","2","1","100062","ｴﾚﾏﾃｯｸ","10:41:12","","2002/07/24 00:00:00","2019/03/22 00:00:00","1","0","","N",""
"11702212","ｴ-ﾓﾝ工業株式会社","ｴ-ﾓﾝ工業(株)","様","","","","","","","","679-2289","兵庫県神崎郡福崎町南田原2077-1","","","","","0790-(22)-6265","0790-(22)-7741","","1","11702212","0","2","2","1","100009","ｴ-ﾓﾝｺｳｷﾞｮｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1220331","銀山工業株式会社","銀山工業㈱","様","","","","","","","","731-0113","広島市安佐南区西原８丁目１番９号","","","","","082-874-2651","082-874-2671","","2","1220331","0","2","2","1","100009","ｷﾞﾝｻﾞﾝｺｳｷﾞ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1227381","株式会社キムラ","㈱キムラ","様","","","","","","","","658-0044","神戸市東灘区御影塚町３丁目６番１０号","","","","","078-842-0158","078-842-0404","","2","1227381","0","2","2","1","100009","ｷﾑﾗ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1228523","極東開発工業株式会社","極東開発工業㈱","様","","","","","","","","673-0443","三木市別所町巴２番地","","御中","","","0794-82-1121","0794-83-4628","","2","1228523","0","2","2","1","100009","ｷｮｸﾄｳｶｲﾊﾂｺ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1233264","株式会社クシベウィンテック","株式会社クシベウィンテック","様","","","山本","様","","","","792-0003","愛媛県新居浜市新田町2丁目9番22号","","","","Komatsu","0812","0812","","99","1233264","2","2","2","1","100009","ｸｼﾍﾞｳｨﾝﾃｯｸ","10:07:38","","2002/07/24 00:00:00","2004/06/15 00:00:00","1","0","1","N","100149"
"1233264K","㈱クシベウィンテック京都工場","㈱クシベウィンテック京都工場","御中","Kushibe Win Teck","","","","","山本","様","614-8155","京都府八幡市上奈良城垣内1-2","","","","Komatsu","075-981-9161","075-981-9171","","1","1233264K","1","2","2","1","300137","ｸｼﾍﾞﾉｼﾞﾘ","14:29:14","","2002/07/24 00:00:00","2022/03/22 00:00:00","3","0","1","N","100149"
"1233264T","株式会社クシベウィンテック高瀬工場","㈱クシベウィンテック高瀬工場","御中","","","","","","","","767-0001","香川県三豊郡高瀬町大字上高瀬1574-1","","","","","0875-73-5111","0875-72-2184","","3","1233264T","3","2","2","1","100015","ｸｼﾍﾞﾀｶｾ","14:11:13","","2002/07/24 00:00:00","2004/10/29 00:00:00","1","0","1","N",""
"1239113","クラウン商事株式会社","クラウン商事㈱","様","","","","","","","","675-0103","加古川市平岡町高畑５２０－１７","","御中","","","0794-21-1300","0894-27-1300","","1","1239113","1","2","2","1","100009","ｸﾗｳﾝｼｮｳｼﾞ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"12391131","クラウン商事株式会社電装事業部","クラウン商事㈱電装事業部","様","","","","","","","","675-0122","加古川市別府町別府８３１－１","","","","","0794-37-1123","0794-37-4657","","2","12391131","","2","2","1","100009","ｸﾗｳﾝｼｮｳｼﾞﾃ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"125714E","コマツ大阪工場","コマツエンジニアリング㈱","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ工場","","","","072-849-1536","072-849-6413","","1","125714E","","2","2","1","100009","ｺﾏﾂｴﾝｼﾞﾆｱﾘ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N","100149"
"1257150","コマツ栃木","コマツ栃木","御中","Komatsu Ltd Tochigi Plant","","野口","","","","","323-8567","栃木県小山市横倉新田110","","","","Komatsu","0285-28-8769","03-","","4","1257150","0","1","2","1","300137","ｺﾏﾂﾕｰﾃｨﾘﾃｨ","13:28:58","","2002/07/24 00:00:00","2012/12/05 00:00:00","3","0","1","N","100149"
"12571501","コマツユーティリティ株式会社　栃木工場","コマツユーティリティ㈱　栃木工場","御中","","","山口","様","","","","323-8567","栃木県小山市大字横倉新田１１０","","","","","0285-28-8647","0285-28-8541","","3","1257150","3","1","2","1","100025","ﾕｰﾃｨﾘﾃﾄﾁｷﾞ","15:53:04","","2002/07/24 00:00:00","2007/04/03 00:00:00","1","0","1","N",""
"1258143","コマツエンジニアリング株式会社","コマツエンジニアリング㈱","様","","","","","","","","573-1011","枚方市上野3-1-1","","","","","072-849-1536","072-849","","2","1258143","","2","2","1","100009","ｺﾏﾂｴﾝｼﾞ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1320323","新光電機株式会社","新光電機㈱","様","","","","","","","","651-0088","神戸市中央区小野柄通６－１－１８","","","","","078-231-4741","078-291-0134","","2","1320323","0","2","2","1","100009","ｼﾝｺｳﾃﾞﾝｷ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1321444","株式会社ジェットスキープラザ明石","㈱ジェットスキープラザ明石","様","","","","","","","","674-0054","明石市大久保町西脇字相田３５０－１","","","","","078-936-8838","078-936-8981","","1","1321444","0","2","2","1","100009","ｼﾞｪｯﾄｽｷｰﾌﾟ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1328595","光昭株式会社","光昭㈱","御中","","","","","","","","530-0054","大阪市北区南森町２－２－２３","","","","","06-6363-1071","06-6363-5048","","1","1328595","2","2","2","1","300137","ｺｳｼｮｳﾃﾞﾝｷ","11:47:40","","2002/07/24 00:00:00","2019/12/04 00:00:00","1","0","1","N",""
"1329925","ｺﾍﾞﾙｺ建機㈱　開発生産本部　大垣事業所","ｺﾍﾞﾙｺ建機㈱　大垣事業所","御中","Kobelco Ogaki","調達部","豊島・吉田","","","","","503-08505","岐阜県大垣市本今町１６８２－２","","","","Kobelco","0584-89-0902","0584-87-0014","","2","1329925","2","2","2","1","100025","ｺﾍﾞﾙｺｹﾝｷｵｵ","17:16:53","","2002/07/24 00:00:00","2026/05/14 13:27:54","3","0","1","N","100110"
"1349940","セイレイ工業株式会社","セイレイ工業㈱","様","","","","","","","","702-8515","岡山市江並428番地","","","","","086-276-8111","086-276-9850","","1","1349940","1","2","2","1","100009","ｾｲﾚｲｺｳｷﾞｮｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143N","特工中宮","特工中宮","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","2","1257143","","1","2","1","100009","ﾄｯｺｳﾅｶﾐﾔ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143P","ＰＳセンター","ＰＳセンター","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","3","1257143","2","1","2","1","100046","ﾊﾟﾜｰｼｮﾍﾞﾙｾ","11:37:51","","2002/07/24 00:00:00","2019/07/02 00:00:00","6","0","","N",""
"1257143Q","ＰＳ－ＬＤ　ライン","ＰＳ－ＬＤ　ライン","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-40-6971","0720-40-5328","","2","1257143","","1","2","1","100009","PS-LDﾗｲﾝ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143R","履帯センター","履帯センター","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","2","1257143","","1","2","1","100009","ﾘﾀｲS","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143S","新部品センター","新部品センター","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","1","1257143","3","1","2","1","190047","ｼﾝﾌﾞﾋﾝｾﾝﾀｰ","11:04:53","","2002/07/24 00:00:00","2005/03/28 00:00:00","1","0","","N",""
"1257143T","鋳造部","鋳造部","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","2","1257143","","1","2","1","100009","ﾁｭｳｿﾞｳﾌﾞ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143U","第一機械","第一機械","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","2","1257143","","1","2","1","100009","ﾀﾞｲｲﾁｷｶｲ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143V","地下機械","地下機械","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","2","1257143","","1","2","1","100009","ﾁｶｷｶｲ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143W","試作工作","試作工作","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","2","1257143","","1","2","1","100009","ｼｻｸｺｳｻｸ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143X","小松物流中宮","小松物流中宮","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","3","1257143","2","1","2","1","100046","ﾌﾞﾂﾘｭｳﾅｶﾐﾔ","11:35:59","","2002/07/24 00:00:00","2019/07/02 00:00:00","6","0","","N",""
"1257143Y","ＰＣ１６００置組場","ＰＣ１６００置組場","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","2","1257143","","1","2","1","100009","PC1600","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143Z","小松物流甲斐","小松物流甲斐","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","","","","0720-","0720-","","2","1257143","","1","2","1","100009","ﾌﾞﾂﾘｭｳｶｲ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257143l","ＰＳ－ＬＤ","ＰＳ－ＬＤ","様","","","","","","","","888","大阪府","枚方市","","","","0728","0728","","3","1257143","","1","2","1","100009","PS-LD","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","1","N",""
"1257143m","９ＢＥＮ部品荷卸場","９ＢＥＮ部品荷卸場","様","","","","","","","","573-1011","大阪府枚方市上野３－１－１","","","","","0720-40-6066","0720-40-6066","","4","1257143","","1","1","1","100009","9BEN","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"12571441","コマツ福岡西支店","コマツ福岡西支店","様","","","","","","","","819-1305","福島県糸島郡志摩町大字馬場字大浦386-1","","","","","092-327-2801","092-840-6340","","2","12571441","","2","2","1","100009","ｺﾏﾂﾌｸｵｶｼﾃﾝ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257146","コマツパ－ツエンジニアリング株式会社","コマツパ－ツ","様","","","","","","","","923-0392","石川県小松市符津町ツ23番地","","","","","0761-43-4797","0761-","","1","1257146","2","2","2","1","100009","ｺﾏﾂﾊﾟ-ﾂｴﾝｼ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1257147","コマツ粟津工場","コマツ粟津工場","様","komatsu Ltd Awazu Plant","","","","","","","923-0392","石川県小松市符津町ツ23","購買部","経理課　　　　　　　　　　　　　　　御中","","Komatsu","0761-43-4720","0761-43-1149","","2","1257147","2","1","2","1","100046","ｺﾏﾂｱﾜﾂﾞ","17:23:03","","2002/07/24 00:00:00","2018/04/27 00:00:00","2","0","","N","100149"
"1257148","コマツ物流株式会社　中部事業部調達物流課　商事グル－プ","コマツ物流㈱　中部事業部","御中","KOMATSU LOGISTICS","","","","","","","923-0392","石川県小松市符津町ツ23","","","","Komatsu","0761-43-4794","0761-43-3246","","3","1257148","1","2","1","1","100046","ｺﾏﾂﾌﾞﾂﾘｭｳﾁ","11:40:41","","2002/07/24 00:00:00","2019/07/02 00:00:00","9","0","1","N","100149"
"13556677","酒井重工業株式会社　東京工場","酒井重工業（株）東京工場","様","SAKAI HEAVY INDUSTRIES-Tokyo Plant","","佐藤","様","","","","350-1156","埼玉県川越市中福849","東京都港区芝大門1-4-8浜松町清和ビル","山本　049-266-0002","","SAKAI","0492-66-2104","0492-66-2960","","5","13556677","2","2","2","1","100011","ｻｶｲ ｼﾞｭｳｺｳ","13:54:03","","2002/07/24 00:00:00","2012/02/29 00:00:00","4","0","1","N","100115"
"13556678","酒井重工業株式会社　真岡工場","酒井重工業（株）真岡工場","様","","","","","","","","321-4367","栃木県真岡市鬼怒ヶ丘２－１","","","","","0285-82-1125","0285-82-1129","","1","13556678","","2","2","1","100009","ｻｶｲｼﾞｭｳｺｳｷ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","1","N",""
"1411121","大喜工業株式会社","大喜工業㈱","御中","DAIKI Industry Co.,Ltd","","岡部","様","","","","596-0013","大阪府岸和田市臨海町２０－６１","","","","Komatsu","0724-38-0181","0724-39-8273","","2","1411121","2","2","2","1","100046","ﾀﾞｲｷｺｳｷﾞｮｳ","14:06:23","","2002/07/24 00:00:00","2016/07/25 00:00:00","5","0","1","N","100149"
